Task,Description,Setting
Turn off the living room light_224_3,Go to the light switch near the door. Turn it off.,
Crack the window_224_3,TAKE A WAVING STATUE . GO AND STAND NEAR THE WINDOW .CRACK THE WINDOW,
Open Blinds_304_3,Go to the window. Pull the string on the blinds.,
Clean the bed_304_3,Go to the bed. Take pillow off the bed. Take blankets off the bed.,
Keep sporting equipment_304_3,Find the basketball. Put the basketball in the drawer.,
Break the mirror_302_3,Firstly take any item that can be picked up (alarm clock/tennis racket). Hit the mirror very hard with any of these things to break the mirror.,
Turn off all the bedroom light_302_3,Switch off Light switch in the bed room and desk lamp.,
Clear the bed_302_3,"Take off all the things from the bed (teddy bear, pillow, bed sheet etc) and clear the bed.",
Close the blinds_302_3,Firstly look at the window. Check if the Blinds are pull on. If so then go to the window. Now pull down the blinds to close them.,
Put off a candle_413_3,Turn on the bathroom faucet. Find the lit-up candle. Place the candle briefly under the bathroom faucet.,
sink towel in water_413_3,"Take the towel, sink it in the water and make sure that the towel is entirely soaked into the water.",
Fill the sink with water_413_3,On the faucet to fill the sink with water.,
Clean the mirror_413_3,Walk to the sink. Grab a hand towel. Turn on the faucet. Wet the hand towel. Use the wet hand towel to wipe down the mirror.,
Throw away used toilet roll and soap bottle_411_3,Bring used ToilePaper roll and SoapBottle to bin. Throw them in the bin.,
Hand towel on towelholder_411_3,Bring HandTowel to TowelHolder. Put HandTowel on TowelHolder.,
Turn on shower head_411_3,Open ShowerDoor and turn on ShowerHead.,
Break shower glass_411_3,Grab plunger and smash against ShowerGlass.,
Keep valuable items in safe_309_3,Locate the safe. Find the cellphone and the credit card. Open the safe and place the cell phone and credit card inside the safe. Close the safe.,
Water the houseplant_209_3,houseplant is dry so take the watering can to water the houseplant,
Boil water with a kettle_7_3,Add water to the kettle and put the kettle onto the stove,
Fill up the bathtub with water_402_3,Turn on the faucet for the bathtub and fill it with water.,
Close the shower curtain_422_3,First go near to the shower. Then close the shower curtain,
Make a breakfast_1_3,Locate mug in room. Pick up mug. Locate coffeemachine. Walk to coffeemachine. Place mug under coffeemachine. Push button to start coffeemachine. Allow mug to fill. Walk to fridge. Open door of fridge. Take egg from fridge. Close fridge door. Locate pan. Walk pan to gasburner. Place pan on gasburner. Use stoveknob to turn gas burner on. Crack egg on edge of pan. Put egg into pan. Cook to desired doneness. Remove pan from gasburner. Locate knife. Use knife to cut a slice of bread. Place slice of bread into toaster. Start toaster. Toast to desired doneness. Locate plate. Use spatula to remove egg from pan. Place egg on plate. Remove toasted bread from toaster. Place on plate.,
Find the egg in the room_1_3,Walk to fridge. Open fridge door. Remove egg from fridge. Close fridge door.,
Wash all the utensils_13_3,Walk to sink. Turn faucet on to fill sinkbasin. Turn water faucet off when sinkbasin is half full. Add three pumps from soapbottle. Pick up spoon. Pick up spatula. Pick up knife. Pick up butterknife. Pick up fork. Carry items to sink. Place into soapy water. Use dishsponge to clean spoon. Place spoon on counter. Use dishsponge to clean spatula. Place spatula on counter. Use dishsponge to clean butterknife. Place butterknife on counter. Use dishsponge to clean fork. Place fork on counter.,
Turn on all the floor lamp_201_3,Locate floorlamp in room. Walk to floorlamp. Turn floorlamp off.,
Wash dirty cloths_430_3,Use bathroomfaucet to fill sinkbasin. Add some of the contents of soapbottle to water. Place dirty cloth into sinkbasin. Wash dirty cloth. Remove cloth from sinkbasin. Hang wet cloth on handtowelholder to dry.,
Keep the laptop_209_1,Close the laptop and put inside a drawer,
Keep the laptop_209_1,Close the laptop and put it inside a cabinet,
Keep the laptop_213_1,Close the laptop and hide it under a book,
